Unnamed: 0,image_url,caption_A,caption_B,human_output,llm_output,clip_small_output,clip_large_output,human_evaluator
135,https://cs.stanford.edu/people/rak248/VG_100K_2/703.jpg,"The image captures a serene moment on a highway, where the road gently curves to the left, inviting travelers to continue their journey. The highway is flanked by a sturdy metal guardrail on the right, providing a.","The image captures a serene moment on a highway, where the road gently curves to the left, inviting travelers to continue their journey. The highway is flanked by a sturdy metal guardrail on the right, providing a.",0.0,0.0,0.0,0.0,priyan
79,https://cs.stanford.edu/people/rak248/VG_100K_2/498.jpg,"A cozy corner with a small entertainment center, featuring a television and a DVD player, set against a backdrop of a potted plant and a carpeted floor.","The image showcases a cozy corner of a room, featuring a wooden entertainment center. The centerpiece is a television, which is currently displaying a vibrant scene of a sunset over a body of water. The TV is perched on.",1.0,0.0,1.0,1.0,priyan
419,https://cs.stanford.edu/people/rak248/VG_100K_2/317.jpg,"In the heart of a bustling city, a white church stands tall, its architectural details a testament to its historical significance. The church, with its arched windows and pointed roof, is a beacon of faith amidst the urban landscape.","In the heart of a bustling city, a white church stands tall, its architectural details a testament to its historical significance. The church, with its arched windows and pointed roof, is a beacon of faith amidst the urban landscape.",0.0,0.0,1.0,0.0,priyan
436,https://cs.stanford.edu/people/rak248/VG_100K_2/492.jpg,"A cozy retreat: A well-made bed in a hotel room, inviting and comfortable, with a nightstand featuring a lamp and a phone, ready for a restful stay.","The image captures a cozy hotel room, bathed in soft light. Dominating the scene is a large bed, dressed in crisp white linens and a plush blue blanket. The bed is adorned with two fluffy white.",1.0,0.0,0.0,0.0,priyan
63,https://cs.stanford.edu/people/rak248/VG_100K_2/521.jpg,"The image captures a serene scene of a two-story house nestled amidst nature. The house, constructed from dark wood shingles, exudes a rustic charm with its green trim around the windows and doors. The roof,.","The image captures a serene scene of a two-story house nestled amidst nature. The house, constructed from dark wood shingles, exudes a rustic charm. Its green trim adds a touch of color to the otherwise mon.",0.0,0.0,0.0,0.0,priyan
168,https://cs.stanford.edu/people/rak248/VG_100K_2/725.jpg,"The image captures a bustling city street at night, bathed in the glow of streetlights and car headlights. The scene is a typical urban landscape, with cars in motion, their headlights piercing the darkness. The buildings, ill.","The image captures a bustling city street at night, bathed in the glow of streetlights and car headlights. The scene is filled with the hustle and bustle of urban life, with several cars in motion, their headlights.",1.0,0.0,0.0,0.0,priyan
231,https://cs.stanford.edu/people/rak248/VG_100K_2/676.jpg,"Vibrant Parrot Perched on a Cage, Amidst a Tropical Setting with Lush Greenery and a Rustic Charm.","In the heart of a cozy restaurant, a vibrant parrot perches confidently on a wire cage, its feathers a riot of red, green, and blue. The cage, a blend of blue and silver, is strategically.",1.0,0.0,0.0,1.0,priyan
273,https://cs.stanford.edu/people/rak248/VG_100K_2/698.jpg,"A quaint corner cafe, inviting passersby with its charming yellow facade and a welcoming green umbrella. The outdoor seating area is set up for patrons to enjoy their coffee or a light meal, with a.","The image captures a quaint, sunlit scene of a small, charming storefront. The store, named ""Murray's"", is nestled in a quaint town, its yellow facade contrasting with the white trim around.",0.0,0.0,1.0,1.0,priyan
359,https://cs.stanford.edu/people/rak248/VG_100K_2/741.jpg,"The image captures a serene moment on a narrow street in a European city. The street, slick with recent rain, reflects the soft light of the overcast sky. A solitary figure, clad in a vibrant red jacket,.","The image captures a serene city street, bathed in the soft glow of daylight. The street, slick with recent rain, stretches out into the distance, flanked by tall buildings that reach for the sky. A few cars.",0.0,0.0,0.0,0.0,priyan
163,https://cs.stanford.edu/people/rak248/VG_100K_2/196.jpg,"The image captures an interior space that exudes a sense of openness and modern design. The ceiling, painted in a light shade, is adorned with square tiles that create a grid-like pattern, adding a touch of geometric elegance.","The image captures a spacious and well-lit room, characterized by its high ceiling and a grid of square tiles. The room is devoid of any furniture or decorative items, giving it a minimalist and uncluttered appearance.",0.0,0.0,1.0,1.0,priyan
