Unnamed: 0,image_url,caption_A,caption_B,human_output,llm_output,clip_small_output,clip_large_output,human_evaluator
475,https://cs.stanford.edu/people/rak248/VG_100K_2/613.jpg,"In the heart of a bustling city, a moment of tranquility unfolds. Two horse-drawn carriages, painted in a classic black and white, stand parked on the side of a street. The horses, adorned with.","In the heart of a bustling city, a scene of old-world charm unfolds. Two horse-drawn carriages, painted in a classic black and white, stand side by side on the street. The horses, strong and majestic.",0.0,1.0,0.0,0.0,alolika
113,https://cs.stanford.edu/people/rak248/VG_100K_2/962.jpg,"In the heart of a bustling city, a young woman finds a moment of respite at an outdoor café. She's nestled comfortably in a cozy chair, her hand gently resting on her forehead, perhaps in contemplation or simply.","In the heart of a bustling city, a young woman finds a moment of respite at an outdoor café. She's comfortably seated at a table, her hand gently resting on her forehead, perhaps in contemplation or simply enjoying the amb.",1.0,0.0,1.0,1.0,alolika
105,https://cs.stanford.edu/people/rak248/VG_100K_2/265.jpg,"The image captures a vibrant and delicate pink flower, its petals radiating outward from a central yellow disc. The flower is nestled amidst lush green leaves, creating a striking contrast between the soft pink and the rich green.","The image captures a vibrant scene of nature's beauty. At the center of the frame is a single, large purple flower, its petals radiating outward in a perfect circle. The flower's center is a contrasting yellow.",1.0,0.0,1.0,1.0,alolika
430,https://cs.stanford.edu/people/rak248/VG_100K_2/338.jpg,"In the heart of a bustling city, a tranquil pedestrian pathway invites passersby to take a moment and enjoy the serenity. The path, lined with lush trees and vibrant street lamps, leads the.","The image captures a serene urban scene. A man is seen walking on a sidewalk, his figure framed by the rhythmic pattern of the brick pavement. He is casually dressed, suggesting a relaxed atmosphere. The sidewalk is lined.",1.0,0.0,0.0,0.0,alolika
70,https://cs.stanford.edu/people/rak248/VG_100K_2/997.jpg,"In the image, a woman is seated on a vibrant red bench in an airport terminal. She is dressed in a pink dress and has a black purse resting on her lap. Her feet are comfortably crossed, and she is holding a blue.","In the image, a woman is seated on a vibrant red bench, her feet casually resting on a black footrest. She's dressed in a pink dress, and her smile is warm and inviting. Her luggage, including a.",0.0,0.0,0.0,0.0,alolika
185,https://cs.stanford.edu/people/rak248/VG_100K_2/296.jpg,"In the vast expanse of the savanna, a family of elephants embarks on a journey. The leader, a majestic creature with a large tusk, strides confidently towards the right side of the image. Its trunk,.","In the vast expanse of the dry savanna, a trio of majestic elephants grace the scene. The elephants, their gray skin a testament to their resilience, are captured in a moment of tranquility.",0.0,0.0,0.0,0.0,alolika
297,https://cs.stanford.edu/people/rak248/VG_100K_2/406.jpg,"The image captures a serene home office, bathed in the soft glow of natural light filtering through a large window. The room is a symphony of organized chaos, with a desk and chair setup in the foreground, ready for productivity.","The image captures a well-organized home office, bathed in the soft glow of natural light filtering through a large window. The room is a symphony of modern design, with a desk and chair set against the wall, ready for.",1.0,0.0,0.0,0.0,alolika
59,https://cs.stanford.edu/people/rak248/VG_100K_2/593.jpg,"In the heart of a bustling city, life unfolds on a busy sidewalk. A woman, clad in a white coat, strides confidently towards the camera, her pink bag adding a pop of color to the urban landscape. She is.","In the heart of a bustling city, a woman in a white coat strides confidently down the sidewalk, her pink bag swinging gently with each step. She's passing by a tree, its leaves rustling softly in the breeze.",1.0,0.0,0.0,1.0,alolika
80,https://cs.stanford.edu/people/rak248/VG_100K_2/398.jpg,"The image captures a vibrant and lively scene inside a spacious building, possibly a shopping mall or a themed attraction. The ceiling is adorned with red and white striped beams, giving the space a festive and.","The image captures a vibrant and bustling scene inside a large, spacious building that appears to be a shopping mall or a themed indoor attraction. The ceiling is high and features a red and white striped pattern, giving the space.",1.0,0.0,0.0,0.0,alolika
374,https://cs.stanford.edu/people/rak248/VG_100K_2/924.jpg,"The image captures a charming European town, where the architecture is a blend of traditional and modern elements. The buildings, painted in a variety of colors, stand tall with their steep roofs, a common feature in many European cities. The cobbl.","The image captures a charming European town, where the architecture is a blend of traditional and modern elements. The buildings, painted in a variety of colors, stand tall with their steep roofs, a common feature in many European cities. The cobbl.",1.0,0.0,0.0,0.0,alolika
